,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
13,0,0,,"[6008.964180143299, -6233.448296225241, 6597.770123022481, 4.550318087227162, 0.1712156701779986, 1.7266185205589542, -5.206777030067488, 9.0945696707705, -6.499705907471428, 2.2593829766778892, -5.548678940116838, -11.286881853005408, 29237.94025107089, -107350.61412508128, -344222.3372419548]"
14,0,0,,"[-9977.896131987245, 3043.536540753583, -3648.0096790588677, 2.9208993281496, 3.2086472432490076, 5.198646080663715, -11.898830866625884, 11.483761497005695, -7.825730629849066, 5.076240614889073, 7.319212055595994, -11.535412879199962, -55237.993593179024, -72958.83786210154, -143599.7141517874]"
15,"[array([272431.56369763, 810021.72615587, 647402.31652709]), array([272431.56369763, 810021.72615587, 647402.31652709])]","[array([-124.76766,   23.367  , -127.52332]), array([124.76766, -23.367  , 127.52332])]",,"[-7302.17873150999, -1500.5235194919915, -3552.694690246718, 3.1588225238121845, 5.610706981604237, 2.7120095775113766, 4.411983594072005, 9.302926621091952, 9.761668030705927, 5.867232898232714, -0.10745767703480524, -11.196084117360408, 113647.53722613148, 5047.448588277592, -151244.4507010349]"
16,0,0,,"[-7111.835478675852, -6774.730573122652, 5048.579865993799, 3.5029407483723682, 0.8775221608161411, 1.0546922280889128, 3.750798797485686, -2.3769422431760345, 1.2999777028341626, -12.269221711973238, -2.317801584017241, -6.050761069365624, 125224.04399412515, 112007.73787646773, -316697.9697522991]"
17,0,0,,"[4404.62933730909, 6787.318461217277, 1184.4632023247705, 5.386866069193131, 1.9060633763032322, 0.21407055084828996, 1.7175192887308022, -2.986350389392369, 7.7638142873267135, 8.566297565967592, -9.087159892493823, 6.669657962098334, -133499.67759349357, -38718.15386027424, -217566.09973087514]"
18,0,0,,"[-1205.4869404646142, 7606.293645399521, -870.9526454864754, 0.779248758028661, 1.9435925373025051, 5.671312881941885, 0.6179559955771445, 2.2532925671767927, -3.6485013597474074, -5.992908260236028, -10.765868792560802, 6.998584315053957, -70391.11079522497, -54657.18417450374, -330508.8570705948]"
19,0,0,,"[4187.41730354504, -9958.24718137856, 1010.1859173703579, 0.3588166447896298, 4.760764962716581, 4.666455031785116, -5.386888991968886, -1.8978388622857318, -6.705046707990096, -12.560986332189376, -4.248078049278954, 2.2466751137761154, 1188.4921572335588, -102556.4528268253, -383073.81116130535]"
20,"[array([488564.9751441 , 259583.64842777, 158142.18767615]), array([488564.9751441 , 259583.64842777, 158142.18767615])]","[array([-84.0621 ,  77.71156, -70.28873]), array([ 84.0621 , -77.71156,  70.28873])]",,"[-5061.87926004459, 4284.8013124646895, 3537.5921329012344, 2.3038575601433613, 1.3732671592659131, 5.882421155575813, -2.0363019647731253, 12.370303477406026, 5.15466106664417, 5.014221344651229, -3.8438090836806182, -5.034027996419971, 49692.86899381704, 107450.09317237974, -79489.12666572677]"
21,0,0,,"[-7600.731945243655, 2961.3392364919728, -1583.7502938188027, 3.1042673199536193, 3.7010206876952614, 2.500543116724973, -11.827590652398447, -2.6925410511455024, -7.356777457938801, 11.68021443755551, -8.379108805333509, -8.861515957179993, 55884.73312167177, -128870.23616877187, -8527.916723726492]"
22,0,0,,"[-9765.741311540693, 2306.438447506249, 2188.1707413106724, 4.927860040804433, 4.682097868053231, 2.5224962527254418, -0.8768163548404306, -7.352894401504806, 4.122175424846729, -8.398058627319498, -9.140489187886084, -6.692073051012397, 142007.28580515936, 96427.0804465187, -163115.09191314343]"
23,"[array([ 384680.71266592,  586862.46303311, 1000239.17534648]), array([ 384680.71266592,  586862.46303311, 1000239.17534648])]","[array([-192.58196,   64.63205, -119.18166]), array([192.58196, -64.63205, 119.18166])]",,"[8660.849261459509, 5808.427759822815, -1677.5830079932002, 0.8715108852447219, 1.0306532563198345, 4.015901948086571, -2.9376518190201892, 11.274568323082864, 0.5057859034194809, 7.199357258269188, -2.2854455356742687, 1.35735847041399, 141737.44330339506, 83924.3422739486, -247121.11070780977]"
24,0,0,,"[-6570.494191550593, -6210.3346011205995, 4921.8856116132865, 0.7172638854335424, 0.8852164537483671, 3.1680839356556305, 9.71145079118568, 9.195293776058538, 5.951922025788008, 3.317700218084404, 0.5097534375220203, -10.024553566065869, 18676.501487777685, 51718.94816918188, -50436.05821269663]"
25,0,0,,"[-564.8956229757496, -3937.842161771856, -4641.725539447841, 3.4612869722978665, 4.772147307908869, 2.4646644787063883, -0.7733924672373647, 5.489678560020915, 0.4338578323978908, -10.806622148624978, -9.046669082351551, -0.4421024087338292, -138512.42004675485, -103868.47785505513, -210861.17196918104]"
26,"[array([143282.28736508, 453494.99898617, 742496.33645821])]","[array([ -64.88902,  -98.83762, -116.17729])]",,"[4348.740977853922, 4775.59161875515, -551.6766497144035, 4.606041112160646, 5.588367879399368, 2.357662264904476, -1.1356090217432069, 5.454972480346342, -1.2046041769302214, 8.781020970712216, -10.14550446714481, 3.7804909368587793, -144611.77567863613, -43934.26350944422, -37711.02068251779]"
27,0,0,,"[-9703.447379161647, -8050.626868065531, -3084.198941143428, 4.848966622913737, 4.870440574292661, 4.083659246062572, -5.780935025580826, -7.060177825741622, -2.083455206598587, -6.518540068154188, 1.2491221710852205, -0.17978704348106156, -112724.49560832055, -106638.7418122467, -304597.35412961186]"
28,"[array([456226.58367695, 693224.01236886, 823188.53884101]), array([456226.58367695, 693224.01236886, 823188.53884101])]","[array([-127.61988,    0.4869 , -114.03771]), array([127.61988,  -0.4869 , 114.03771])]",,"[6475.46296153705, 4895.047002508589, 6523.762788372733, 2.2583541821854425, 5.052337161007438, 3.5007752028624, 9.976822928555855, -3.3624450738581455, 10.464538321906254, 9.915816873526111, 2.6520150089814916, -3.7865742009806898, -104063.61706316145, 119103.82078253862, -344985.46983801527]"
29,0,0,,"[4169.822732914226, 8058.36468035122, -9344.884226102626, 2.959456196239758, 1.0822537207482181, 1.228033237308581, 4.027519042111788, -3.688853480081735, 8.236345196976458, -10.001942078338885, -11.716586663344454, -4.646420663047789, 69467.04221928559, 97276.2744271289, -382797.51224755374]"
30,"[array([4218327.16723706,  690138.20561575,  469903.40110224])]","[array([-331.30711,  -57.16382, -238.71096])]",,"[742.9649180431261, 2699.942013053438, 3990.798991727199, 1.5886110833349139, 4.907021580538358, 5.997623930203832, -4.499905375034027, 1.2351642403476895, 6.387528577570805, 7.99553530799146, -5.278740800959446, -10.272993713180359, -109833.2319509692, 64959.513609664486, -356815.71637582744]"
31,0,0,,"[-6524.804743196775, -2867.993126636441, 1103.9222872836872, 1.6915914952999016, 4.3870772781844005, 4.683235897458578, -3.5412591234341626, 0.8883413048295292, -7.379941583764215, 8.058966987587539, -9.356935955374373, -11.32163817888845, 99127.87633255604, -45446.608203927346, -94314.5880560936]"
32,"[array([ 73353.3714295 , 528168.33063474, 361788.71274788]), array([ 73353.3714295 , 528168.33063474, 361788.71274788])]","[array([-65.82808,  11.02401, -92.77227]), array([ 65.82808, -11.02401,  92.77227])]",,"[6453.96454474669, -9206.57779694695, 5176.873761255749, 4.98825906129974, 3.4346045900892763, 2.1215777344823366, 10.150820072316904, 4.621512798262399, 9.286612491293845, 1.2462854395462077, 1.1955756786129506, 1.5925116950889855, -133890.1384691072, 121026.16751831316, -202946.01116631948]"
33,0,0,,"[-6520.710103977452, -6800.170111618644, -1758.4652517871054, 1.1161894998232573, 3.9448222235421535, 0.7679377383593448, -2.4830148087059545, 2.4078195957096877, 2.8858011700446617, -8.25151988808258, 5.4773619240719995, 2.278534337241368, 22895.52921729596, 44922.00236173361, -20109.236780550156]"
34,0,0,,"[1167.948077537876, -4410.287639792909, -9565.104936100333, 0.1777652273206069, 3.3968808914061133, 1.1807006606111148, 1.4738611368547136, -2.1455696778474778, 8.696263062437325, 2.7659413143458114, -6.249597010288582, 0.6210274562976377, 69136.45871923168, -142799.8351321038, -305769.0833000396]"
35,0,0,,"[2841.0044790896063, -6289.606528352066, 9900.457231128039, 2.4925313215760876, 4.14340056377526, 2.497883967208906, 0.5899980054511591, 9.472622153395214, 12.481226446077333, -11.848537460402543, -2.7244777605523645, 5.839747641693673, 119795.26826079824, 72278.07182371354, -566.0868120237137]"
36,0,0,,"[-922.6341083978277, 2110.4850505312115, -1082.5350244205856, 2.187486504198263, 0.6537203151339959, 3.4164470440151304, -4.627476375493416, 7.417378447109982, 8.39851791961335, -5.218102060674237, -8.649194798822476, -0.9937245396086833, 57984.76897250823, 54521.505998704204, -61826.026438259636]"
37,0,0,,"[2468.5568527411488, 7088.969293400583, 565.9388694746049, 1.4340024549846369, 4.923094773300893, 4.486295454043452, -2.8203963034697903, -5.682331406858927, 9.547203952345669, -7.045354021876468, -5.503467281244284, -12.242219468128377, 20157.98159025205, 81851.556441063, -54998.35347880592]"
38,0,0,,"[3724.011142536352, 8774.35460385331, 5502.784698830625, 5.252364822627467, 4.558102847596653, 3.891529661218215, -6.735484891590845, -7.2292438562185115, 8.624638234852714, 9.902851980639372, -11.90754180887822, -7.968578932837751, -31197.49253425392, 111703.49430705057, -268036.97677694913]"
39,0,0,,"[984.3876259903063, 1667.7424494715742, -4859.834754012817, 1.4023004402204517, 2.105023410308317, 2.1486114898161763, -4.981861610322364, 1.52832178804241, -7.020494191387402, 0.5889964672379122, -1.6499486574850657, -7.033164453947937, -60984.60247964309, 40748.1932479972, -118939.23595983168]"
40,0,0,,"[-831.3874973415896, 1452.4616452267037, 6218.922398609086, 0.14312128575949856, 0.12796887422938086, 5.84633085773391, 4.721313796508522, 5.04168424076982, 11.304772697436555, -8.231690461254441, 7.718707558147933, -11.260970289691084, -28591.656665127797, -76106.85435096589, -195784.57376279426]"
41,"[array([ 89632.9951288 , 401435.41336777, 532398.70225213])]","[array([-85.39021, -71.75861, -61.46488])]",,"[1625.616735657737, -6579.497608578282, 5082.953601387155, 4.09525580701684, 3.9173063865908975, 0.12034334032291567, 10.032092013478973, 8.327224223540835, 1.2450314981449129, -10.358841972604433, 6.255823359563308, 6.237043510110706, -107132.09379945701, -83805.44473348331, -110208.86520409817]"
42,"[array([111398.40500333, 491547.15309092, 376432.82808628]), array([629249.05031272, 175626.05231802, 103183.48150547]), array([629249.05031272, 175626.05231802, 103183.48150547]), array([111398.40500333, 491547.15309092, 376432.82808628])]","[array([-72.55833,  -7.40084, -86.79206]), array([-37.02942, 133.07089,  24.02387]), array([  37.02942, -133.07089,  -24.02387]), array([72.55833,  7.40084, 86.79206])]",,"[-1244.9782017811358, 1762.407677987323, 359.57041551032125, 4.075607729718625, 0.38183565590385715, 2.7209951342276746, 4.543497785630617, 3.260128669747788, 2.6057579023194624, 3.861321912157642, 7.334967596120162, 6.272255684994413, 128224.38490850071, -128059.88309478821, -197355.5204898501]"
43,"[array([138674.20477461, 857959.33414582, 509576.01126336]), array([138674.20477461, 857959.33414582, 509576.01126336])]","[array([ -93.0261 ,   38.7622 , -110.84773]), array([ 93.0261 , -38.7622 , 110.84773])]",,"[-8416.104984930904, -3796.9076916887334, 8585.96277158421, 5.163799679056527, 2.8474769997024927, 3.935465626357854, 8.781459184466499, 2.3618602677110996, -7.116290404531332, 11.011974882116917, 3.145719211011098, 1.7953612787940934, 82288.73223857395, 106706.03828379902, -75540.19151973963]"
44,0,0,,"[2344.291940442399, -8140.9046846511155, 8744.836166592475, 1.6746363782164553, 3.6787707716863896, 3.6929541323279227, -7.429876436846508, -1.2294371107952617, 5.897020447091036, 0.18375679780713128, -9.631918549124496, -1.6134110184927213, -85532.18209575246, -37062.27344733164, -254299.3991991422]"
45,"[array([1263973.38348833,  599615.05261917,  268108.41363139]), array([1263973.38348833,  599615.05261917,  268108.41363139])]","[array([-134.2967 ,  142.26321, -166.84988]), array([ 134.2967 , -142.26321,  166.84988])]",,"[-3416.239563690857, 5385.603520537656, -6796.040009659415, 4.418868256758695, 0.8781085984367137, 1.30995286556147, -10.36550067325942, 4.0075835494638685, 4.373214522023309, 12.146390702605338, -3.98102554041588, -0.2758698248230722, 137512.06952147413, -3221.070056989556, -386485.1975889088]"
46,0,0,,"[-2703.170916466822, -1283.5880137836193, -9456.193453286725, 4.976318173948535, 0.8537731510495074, 2.1399469600306866, 4.063108626244983, -6.247180671315016, -3.87584009439769, -5.512789875710565, 7.307892506767228, -6.101231402209728, -43551.497787514454, 84235.47422466608, -168598.55337492877]"
47,0,0,,"[1268.0617293287469, 5001.280456275039, -2926.7261979218893, 5.163757734034001, 2.20829864187371, 2.0725823694772973, -5.237168502124079, 0.4685954862356212, -1.7651356747756832, -3.5349721971797514, 5.863778318089658, -6.409481554741082, -12296.760776392388, 106017.29643367941, -58355.67549648526]"
48,0,0,,"[-2205.519133441485, 6882.048654445312, 2124.5571290135285, 3.4937407940188043, 2.294570238594475, 4.483063686286017, 4.909039962068782, -2.9908821965464636, 8.895431467107741, -10.16626507404571, -7.50138648033202, 3.1594329685572777, 5361.818119702832, 26190.51954914705, -78089.40027404903]"
49,"[array([200983.92801138, 792455.03728442, 834344.70114255]), array([200983.92801138, 792455.03728442, 834344.70114255])]","[array([-115.37105,   -9.9529 , -111.35684]), array([115.37105,   9.9529 , 111.35684])]",,"[7526.572701307105, -6018.158333304688, 6860.736818780457, 3.954664458239541, 0.2708806409210174, 4.261760005682903, 3.2750732815764536, 8.504688767418063, 10.493397671527088, -0.11227696000533705, -3.66520035485431, -3.2480856179963027, -73564.54342641565, 56878.227177398076, -382788.5049466196]"
50,"[array([2139438.3793518 ,  572398.09853317,  791140.17764299]), array([2139438.3793518 ,  572398.09853317,  791140.17764299])]","[array([-195.68175,   -8.03219, -163.7128 ]), array([195.68175,   8.03219, 163.7128 ])]",,"[3695.457257459915, -1096.9157731829546, -5798.045205733124, 2.8357003366043907, 4.021029620604437, 5.678395879366768, 6.1211781033958275, 0.24345509378740537, 8.070958158457596, 9.825830847887207, -8.009458102776481, -11.465033752641313, 38487.68307569166, -85656.27098672965, -297196.0201540122]"
51,0,0,,"[-1256.0923076876334, -4123.155926482602, 1983.8806549607143, 4.598829113850609, 4.634495414194214, 3.3101486554983235, -8.444741108407314, 8.654375080954924, 4.30403577602868, -10.165937285960323, -9.146148520653078, -2.1160035496894576, 118273.58578836062, 25300.03756145871, -263722.15530715993]"
52,0,0,,"[7776.865093352011, -5918.56933378262, -6451.83087127418, 2.8444657678554766, 3.569658029494173, 0.3819224355058817, -3.134441875348429, 6.930362974490473, -6.918403260260494, 6.804890466031001, -2.6565165240733357, -6.678357837781826, 91104.94923678032, 43644.27394679078, -165740.4285914944]"
53,"[array([26541226.08152515,   459938.39812208,  5176532.04152774])]","[array([ -822.58724,   -12.40503, -1003.57724])]",,"[-5045.548630407628, 1667.223004922349, 616.0902562712017, 2.9282223143773893, 5.011317503824197, 1.3227220154649402, -8.54420239886245, 6.813342826119749, 3.641020096307294, 5.888674141451975, -2.459688384444563, -7.434958210677223, -135471.33975068456, 47063.420246940106, -238105.0245368257]"
54,"[array([2820256.46696451,  339804.93764857,   84005.44987609]), array([15152366.3919373 ,   917703.53714683,   132003.86886906]), array([2820256.46696451,  339804.93764857,   84005.44987609])]","[array([-165.76207,  181.94986, -113.92656]), array([  16.25479, -453.16835, -558.25836]), array([ 165.76207, -181.94986,  113.92656])]",,"[3567.5974785517556, 965.1629925913494, 2833.291280091542, 5.40752230376192, 5.5589019157670485, 2.407204719259972, -4.114900426917597, -3.4066114450454705, 0.4102388507606811, -4.222209317980452, -3.7759417759844336, 6.568741986991498, 141852.2730650056, -63312.753258392855, -88234.31641277752]"
55,0,0,,"[-6859.802349521722, -488.2587564647183, -1694.7212596364152, 2.1267976094045253, 3.320692396595188, 0.6649434931367589, 10.823535184626568, 3.430576960425258, -3.4039767274414983, 10.214691594867517, -2.6979475863542515, -0.9871123285291876, -119954.37668158932, -9455.270079069509, -332809.351667326]"
56,"[array([357969.15758314, 160853.21582816, 210782.27600886])]","[array([-48.85011, -49.58689, -51.68765])]",,"[-5966.412754133013, 7636.760920959172, -4827.737835987402, 2.659371515029408, 5.619389461185263, 5.957132077129567, -12.366082887417784, 11.694341862496241, 11.378432489732528, 11.683729649847844, 0.5931769479256541, 5.513551872930261, 5055.494557191589, -103010.30515290482, -122250.12353571347]"
57,0,0,,"[-225.17939173150626, 6128.168333321804, 1401.3153545124096, 3.7965674921939736, 4.969749459823451, 5.527822128977047, 1.7288087008404958, -3.619900041672712, 5.428547534252935, -12.462617380782657, -7.538648992401446, -6.819256741323558, 59821.39487347251, 73668.18104896945, -384469.28133400506]"
58,"[array([ 75400.45427821, 206793.10471717, 247369.79998656]), array([ 75400.45427821, 206793.10471717, 247369.79998656])]","[array([-66.40468,  50.69616, -21.65943]), array([ 66.40468, -50.69616,  21.65943])]",,"[-1084.5760683820954, -3647.340454452079, 9582.525483253812, 1.3667949409696842, 5.472788494319704, 3.3391974378295264, 3.1087950951060837, 8.66303359712856, 12.174753157136003, 4.454086907196345, -5.3113190583942345, 3.5474994643715227, 93289.83316493931, 26224.064940501936, -26617.85806578939]"
59,"[array([ 196025.64547456, 4558254.14479143, 8182160.60767646]), array([ 196025.64547456, 4558254.14479143, 8182160.60767646])]","[array([-520.62831,  345.05485,   -6.07693]), array([ 520.62831, -345.05485,    6.07693])]",,"[8259.880517489684, 4156.7492915821185, -1973.5182348371218, 0.6499897396332533, 3.304182565150294, 2.5187896953477367, -2.561771039351198, 10.779626674159243, 5.955178975254107, -0.07180626104445942, 7.6292075074320955, 1.0369218086369418, 91690.97370041779, 36300.175322187424, -71402.28605533473]"
60,"[array([1614254.23604991,   86779.05010184,  331609.55619769]), array([ 32817.99481588, 171374.54811556, 233651.91301997]), array([ 32817.99481588, 171374.54811556, 233651.91301997]), array([1614254.23604991,   86779.05010184,  331609.55619769])]","[array([-192.62602,  179.74321,  -40.93795]), array([-75.9063 , -55.98856, -63.80966]), array([75.9063 , 55.98856, 63.80966]), array([ 192.62602, -179.74321,   40.93795])]",,"[2660.175237638412, 6341.135117614258, -9148.485108114086, 2.5837470640844016, 3.3271823611135094, 3.394199658924139, 5.3718305921455105, 5.42225085230004, 4.739592461614524, -10.626756170268989, -4.42770208137342, -2.345971796842255, 32443.457761460973, -18044.894033651013, -76970.68996810459]"
61,"[array([1646872.72657058,  769654.54685447,  592006.97143602]), array([1646872.72657058,  769654.54685447,  592006.97143602])]","[array([-141.73652,  -16.04054, -137.80878]), array([141.73652,  16.04054, 137.80878])]",,"[7264.782032827414, 4207.710222487583, 5231.546789996619, 4.877451403844662, 5.464551783980268, 5.678573432731774, -1.5764356351327233, 4.649127777734922, 5.757134013367855, 10.511991332489547, 2.2785341148772993, -6.718879411179352, 50086.894215106935, -123605.65191347181, -361152.8083719857]"
62,0,0,,"[8736.74935461539, 7972.326821848794, 2870.3416739777313, 4.23031329737337, 2.4704515422051094, 2.303963643695689, -5.805677716899244, -4.704568044427289, 1.2885533502825428, 3.0855758264112456, -3.000287333630359, -8.888750913207279, -141198.60744914564, -39421.42011213448, -286068.5026667352]"
63,"[array([3658870.82111287,  213347.40678292, 1052053.62690717]), array([3658870.82111287,  213347.40678292, 1052053.62690717])]","[array([-208.53917,   -9.82811, -199.78571]), array([208.53917,   9.82811, 199.78571])]",,"[7725.231039567861, -3790.1635974689098, 3073.9952325940067, 5.100503301272853, 3.95618600609994, 5.925044531314185, -4.2538139061730735, 10.085095476666712, -5.5928348069343645, 3.3030268911232987, 4.121555142550033, -4.118767180410281, -94119.02727417054, 46072.85780485088, -95948.14074395841]"
64,"[array([1433109.87744837,  139998.08353625,  643382.80332054]), array([1433109.87744837,  139998.08353625,  643382.80332054])]","[array([ -17.49709, -282.25074, -133.54032]), array([ 17.49709, 282.25074, 133.54032])]",,"[8227.901501249897, 6460.025693110198, 5596.56022491524, 0.30271659573356213, 0.16427345625130596, 2.827497663847491, 10.367721761369431, 4.800777764764224, 9.513245678318171, -2.8150462161270173, -4.566376268301766, -2.8943176097972394, -48168.16073884172, -104467.36571749541, -84687.29745833646]"
65,"[array([11537973.67470874,  1295638.60500806,   388718.79773087]), array([2029288.14610971,  532592.07905007,  110111.49194618]), array([2029288.14610971,  532592.07905007,  110111.49194618]), array([11537973.67470874,  1295638.60500806,   388718.79773087])]","[array([-252.93071,  403.54894, -458.92655]), array([-174.0208 , -165.3288 , -154.03267]), array([174.0208 , 165.3288 , 154.03267]), array([ 252.93071, -403.54894,  458.92655])]",,"[6620.512841913103, -4535.447321027544, 2505.1792734024802, 3.462801326012059, 5.482432962160977, 2.1938530345707, -0.30816467820460325, -7.666010627524805, 6.60663410741585, -5.986350798865071, 1.37365402716976, -3.2013733283371693, -56857.35311524589, 140799.44472278212, -191703.26828174677]"
66,0,0,,"[-1194.1736867812233, 2838.1473017768476, 6231.383411394298, 0.26734085748666614, 0.44738368625633995, 5.966139048490602, -4.689949846530154, 9.754038773759685, -5.061319815988293, -5.414329865945566, 7.999367255807236, -0.6215141524790955, 23188.013342066057, 65438.70705871537, -134470.56237410253]"
67,0,0,,"[3266.9543110166214, 8745.226709047216, -58.692503755697544, 1.6550159718062456, 3.092640221011575, 5.699756168319551, 10.275784767325241, -2.919517348244537, -0.47395543746267244, -11.06474479742475, -7.242386655713927, 7.984455366082553, 16115.036582072556, 1203.988672877982, -354166.34210632136]"
68,0,0,,"[5606.566265106334, -5920.176450384107, -7040.669452188193, 1.7046410934724798, 0.7549630915064606, 2.1782126785465814, -5.990388725208587, 6.685598507877325, 10.668450162166483, -4.1286420037221205, 2.2939827251401024, -10.805474302582267, -137041.12202393543, 12798.411916652229, -93618.20952266344]"
69,0,0,,"[-35.62191795610306, -8480.192867201407, 669.4205300853791, 0.8692649016487561, 2.992131478437787, 3.327423950854, -7.345230727381914, 0.0821735332198088, -6.096825119888968, 11.084337385149599, -4.582857807551128, -4.826864632090013, 56031.11946732196, -52376.81768593333, -395212.8460287811]"
70,"[array([1412268.73770305,  743637.92725013,  387510.4904408 ])]","[array([-138.56657,  -34.85538, -131.41279])]",,"[8929.776632392415, 7160.781858094779, 2411.0424550106163, 4.576100543628675, 4.903821298857035, 5.17699419866948, 10.187403889086298, -0.4720563326650691, 9.715934998098493, -7.031262976949539, 6.977805014779122, -9.546720273545397, -64070.68131811806, -26708.651398391332, -349012.8873583089]"
71,0,0,,"[-4997.672237928632, 6230.372047621258, 5549.345870483028, 3.4305076560709815, 1.2243796387466888, 5.467497526775948, -9.394436986565854, -6.99045845600502, -1.34614819364392, 4.510974236756226, -3.0282051460656607, -3.1246676677305008, -148001.96504704576, 99099.00706112362, -285644.25684361917]"
72,0,0,,"[8205.59796893948, 6776.433423648701, -2462.926293708527, 2.2827885372551564, 3.508042310748302, 0.5737384158319544, -9.330430371444892, -3.4245410427875553, 5.522201223563281, -11.637323259808646, 6.738076595265511, -7.866140449431556, 60925.82315947529, -112011.83935774464, -373990.73083084513]"
